"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",0
"8","2020-03-11",0
"9","2020-03-18",2
"10","2020-03-25",216
"11","2020-04-01",1135
"12","2020-04-08",3658
"13","2020-04-15",8039
"14","2020-04-22",11230
"15","2020-04-29",13514
"16","2020-05-06",15036
"17","2020-05-13",16115
"18","2020-05-20",16804
"19","2020-05-27",17226
"20","2020-06-03",17555
"21","2020-06-10",17825
"22","2020-06-17",18038
"23","2020-06-24",18225
"24","2020-07-01",18923
